Time,State,Name,,,
2019/10/11 3:40,0,2_25_90_128_523,2019/10/11 3:40,0,0
2019/10/11 3:41,0,2_18,2019/10/11 3:41,0,0
2019/10/11 3:42,0,2_18,2019/10/11 3:42,0,0
2019/10/11 3:43,0,2_25_90_128_523,2019/10/11 3:43,0,0
2019/10/11 3:44,0,2_25_90_128_523,2019/10/11 3:44,0,0
2019/10/11 3:45,0,2_25_90_128_523,2019/10/11 3:45,0,0
2019/10/11 3:46,0,2_18,2019/10/11 3:46,0,0
2019/10/11 3:47,0,2_25_90_128_523,2019/10/11 3:47,0,0
2019/10/11 3:48,0,2_18,2019/10/11 3:48,0,0
2019/10/11 3:49,0,2_16_78_104_354,2019/10/11 3:49,0,0
2019/10/11 3:50,0,2_18,2019/10/11 3:50,0,0
2019/10/11 3:51,1,2_4_33,2019/10/11 3:51,0,1
2019/10/11 3:52,0,2_16_78_104_354,2019/10/11 3:52,0,0
2019/10/11 3:53,0,2_16_78_104_354,2019/10/11 3:53,0,0
2019/10/11 3:54,0,2_16_78_104_354,2019/10/11 3:54,0,0
2019/10/11 3:55,0,2_16_78_104_352,2019/10/11 3:55,0,0
2019/10/11 3:56,0,2_16_78_104_352,2019/10/11 3:56,0,0
2019/10/11 3:57,0,2_16_78_104_352,2019/10/11 3:57,0,0
2019/10/11 3:58,0,2_23,2019/10/11 3:58,0,0
2019/10/11 3:59,0,2_16_78_104_352,2019/10/11 3:59,0,0
2019/10/11 4:00,0,2_23,2019/10/11 4:00,0,0
2019/10/11 4:01,0,2_23,2019/10/11 4:01,0,0
2019/10/11 4:02,0,2_16_76_100_145,2019/10/11 4:02,0,0
2019/10/11 4:03,0,2_16_76_100_145,2019/10/11 4:03,0,0
2019/10/11 4:04,0,2_23,2019/10/11 4:04,0,0
2019/10/11 4:05,0,2_23,2019/10/11 4:05,0,0
2019/10/11 4:06,0,2_23,2019/10/11 4:06,0,0
2019/10/11 4:07,0,2_16_76_100_145,2019/10/11 4:07,0,0
2019/10/11 4:08,0,2_16_76_100_145,2019/10/11 4:08,0,0
2019/10/11 4:09,0,2_23,2019/10/11 4:09,0,0
2019/10/11 4:10,0,2_23,2019/10/11 4:10,0,0
2019/10/11 4:11,0,2_23,2019/10/11 4:11,0,0
2019/10/11 4:12,0,2_23,2019/10/11 4:12,0,0
2019/10/11 4:13,0,2_25_88_126_565,2019/10/11 4:13,0,0
2019/10/11 4:14,0,2_23,2019/10/11 4:14,0,0
2019/10/11 4:15,0,2_25_88_126_578,2019/10/11 4:15,0,0
2019/10/11 4:16,0,2_23,2019/10/11 4:16,0,0
2019/10/11 4:17,0,2_16_76_100_158,2019/10/11 4:17,0,0
2019/10/11 4:18,0,2_23,2019/10/11 4:18,0,0
2019/10/11 4:19,0,2_16_76_100_158,2019/10/11 4:19,0,0
2019/10/11 4:20,0,2_23,2019/10/11 4:20,0,0
2019/10/11 4:21,0,2_23,2019/10/11 4:21,0,0
2019/10/11 4:22,0,2_23,2019/10/11 4:22,0,0
2019/10/11 4:23,0,2_23,2019/10/11 4:23,0,0
2019/10/11 4:24,0,2_23,2019/10/11 4:24,0,0
2019/10/11 4:25,0,2_16_76_100_158,2019/10/11 4:25,0,0
2019/10/11 4:26,0,2_16_76_100_158,2019/10/11 4:26,0,0
2019/10/11 4:27,0,2_16_76_100_158,2019/10/11 4:27,0,0
2019/10/11 4:28,0,2_23,2019/10/11 4:28,0,0
2019/10/11 4:29,0,2_23,2019/10/11 4:29,0,0
2019/10/11 4:30,0,2_10_76_100_158,2019/10/11 4:30,0,0
2019/10/11 4:31,0,2_10_76_100_158,2019/10/11 4:31,0,0
2019/10/11 4:32,0,2_10_76_100_158,2019/10/11 4:32,0,0
2019/10/11 4:33,0,2_10_76_100_158,2019/10/11 4:33,0,0
2019/10/11 4:34,0,2_10_76_100_158,2019/10/11 4:34,0,0
2019/10/11 4:35,0,2_10_76_100_158,2019/10/11 4:35,0,0
2019/10/11 4:36,0,2_10_76_100_158,2019/10/11 4:36,0,0
2019/10/11 4:37,0,2_10_76_100_158,2019/10/11 4:37,0,0
2019/10/11 4:38,0,2_10_76_100_158,2019/10/11 4:38,0,0
2019/10/11 4:39,0,2_10_76_100_158,2019/10/11 4:39,0,0
2019/10/11 4:40,0,2_12_88_126_578,2019/10/11 4:40,0,0
2019/10/11 4:41,0,2_12_88_126_578,2019/10/11 4:41,0,0
2019/10/11 4:42,0,2_12_88_126_578,2019/10/11 4:42,0,0
2019/10/11 4:43,0,2_12_88_126_578,2019/10/11 4:43,0,0
2019/10/11 4:44,0,2_12_88_126_578,2019/10/11 4:44,0,0
2019/10/11 4:45,0,2_12_88_126_576,2019/10/11 4:45,0,0
2019/10/11 4:46,0,2_12_88_126_576,2019/10/11 4:46,0,0
2019/10/11 4:47,0,2_12_88_126_576,2019/10/11 4:47,0,0
2019/10/11 4:48,0,2_12_88_126_576,2019/10/11 4:48,0,0
2019/10/11 4:49,0,2_12_88_126_576,2019/10/11 4:49,0,0
